                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3329,                 1.5237,                 1.9609,                0.50349,                0.32609,                0.32386,                 0.0845,                 2.5127,                 3.1227,                 3.8373,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3327,                 1.5098,                 1.9582,                0.17612,                0.42754,                0.26317,                0.08824,                  2.277,                 4.2611,                 3.0961,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3335,                 1.5225,                 1.9413,                0.14213,                 0.2029,                0.17499,                0.05347,                 2.3726,                 5.0932,                 3.3847,               0.000614,               0.000614,               0.000614
                     37,                 1.3067,                 1.4208,                  1.943,                0.11959,                0.34058,                 0.1492,                0.05584,                  2.226,                 4.5667,                 3.1217,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.3137,                 1.4544,                 1.9738,                0.20098,                 0.5942,                 0.3173,                0.10658,                 2.2489,                 3.8297,                 3.1757,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.2842,                 1.4855,                 1.8999,                0.14429,                0.52174,                0.21498,                0.06987,                 2.1598,                 4.0812,                 3.1926,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.2693,                 1.3708,                 1.9422,                    0.2,                0.28986,                0.19702,                 0.0682,                 2.3746,                 4.7297,                 3.3177,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.5397,                 1.2806,                  1.886,                0.14122,                0.26812,                 0.1564,                0.05808,                 1.9806,                 4.7129,                 2.9052,               0.000416,               0.000416,               0.000416
                     42,                 1.5344,                 1.2304,                 1.8893,                 0.2967,                0.19565,                0.23558,                0.09413,                 2.0237,                 4.9291,                 2.9804,              0.0003764,              0.0003764,              0.0003764
                     43,                  1.447,                 1.1577,                 1.8425,                0.24855,                0.31159,                0.22418,                0.08699,                 2.0725,                 4.5853,                 3.0587,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.3839,                  1.123,                 1.7634,                  0.255,                0.36957,                0.26876,                0.09598,                 2.0817,                 4.5855,                 2.9713,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.4129,                 1.0774,                 1.8735,                0.32759,                0.13768,                0.21686,                0.08322,                 2.1156,                 5.7397,                 3.0542,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.3235,                 1.0826,                 1.6969,                0.25625,                 0.2971,                0.24483,                0.09148,                 2.1742,                  4.819,                 3.1054,               0.000218,               0.000218,               0.000218
                     47,                 1.3581,                  1.051,                 1.7495,                0.22286,                0.28261,                0.23271,                0.09267,                 2.0103,                 4.9092,                 2.8504,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.3169,                 1.0325,                 1.6589,                0.32039,                0.23913,                 0.2512,                0.09512,                 2.0732,                 5.0491,                 3.0999,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.2947,                  1.019,                 1.6686,                0.37168,                0.30435,                 0.3018,                0.11026,                 2.1183,                 4.9539,                 3.1494,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.2735,                0.97842,                 1.6851,                0.33333,                0.34058,                0.30695,                0.12497,                 2.0432,                 4.6966,                 3.0253,               5.96e-05,               5.96e-05,               5.96e-05
