                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.6101,                 2.3277,                  2.247,                0.09556,                0.31159,                0.10505,                0.02835,                  2.438,                 4.4937,                 3.2947,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.5938,                 2.2116,                 2.2086,                0.13014,                0.13768,                0.08984,                0.02111,                 2.4306,                 5.3744,                 3.2366,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.5686,                 2.1095,                 2.1706,                0.08524,                0.48551,                0.14736,                0.03526,                  2.576,                 4.1244,                  3.268,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.5756,                 2.1222,                 2.1966,                   0.25,                0.13768,                0.16825,                0.05288,                 2.4755,                 5.1058,                 3.3736,               0.001406,               0.001406,               0.001406
                     17,                 1.5274,                 1.9201,                 2.1157,                0.04455,                0.06522,                0.03196,                0.00927,                 2.4391,                 5.5267,                 3.2991,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.538,                 2.0271,                 2.1415,                0.08387,                0.18841,                0.07675,                0.02143,                 2.3583,                 4.9564,                  3.128,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.537,                 1.9761,                 2.1422,                0.11164,                0.34058,                0.15994,                0.04174,                 2.5986,                 4.3452,                 3.4072,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.4925,                  1.973,                 2.1221,                0.11144,                0.55072,                0.21688,                0.05846,                 2.4134,                 3.8603,                 3.2793,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.4797,                  1.901,                 2.1359,                 0.1746,                0.39855,                0.19823,                0.06006,                 2.3819,                 4.2571,                 3.4819,               0.001208,               0.001208,               0.001208
                     22,                 1.5025,                 1.8577,                  2.125,                0.13636,                0.02174,                0.07137,                 0.0192,                 2.4601,                 6.4015,                 3.2025,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.491,                 1.8894,                 2.1283,                0.09322,                0.31884,                0.08958,                0.02624,                 2.4263,                 4.5425,                 3.1491,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.4743,                 1.8997,                 2.0913,                   0.15,                0.26087,                0.14689,                0.04688,                 2.3927,                 4.6741,                 3.0952,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.4369,                 1.8172,                 2.0713,                 0.0708,                0.11594,                 0.0537,                 0.0161,                 2.6799,                 5.1844,                 3.2305,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.4401,                 1.8059,                 2.0595,                0.15315,                0.24638,                0.16262,                0.05602,                 2.6436,                 5.0665,                 3.3203,                0.00101,                0.00101,                0.00101
                     27,                 1.3953,                 1.7639,                 2.0236,                0.27404,                0.41304,                0.26132,                0.09472,                 2.3457,                 4.3068,                  3.089,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.4478,                 1.8064,                 2.0422,                0.35088,                0.14493,                0.23354,                0.07818,                 2.5555,                 5.4603,                 3.1535,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.4224,                  1.731,                 2.0309,                0.29496,                 0.2971,                0.23203,                0.07751,                 2.4463,                 4.8067,                 3.2455,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.3528,                 1.6999,                 1.9906,                0.15249,                0.37681,                0.22952,                0.08059,                 2.3715,                 4.4655,                 3.2018,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.3809,                 1.7001,                 1.9916,                0.13793,                0.02899,                0.08109,                0.02792,                  2.858,                 5.9417,                 3.3108,               0.000812,               0.000812,               0.000812
                     32,                 1.3819,                 1.7063,                 2.0254,                0.18905,                0.27536,                0.19737,                0.06117,                 2.4543,                  4.795,                 3.2612,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.3553,                 1.6918,                 1.9865,                 0.1875,                0.19565,                  0.163,                0.05667,                 2.2743,                 5.3083,                 3.0867,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.3607,                 1.6695,                 1.9892,                0.27451,                 0.2029,                0.22146,                 0.0694,                 2.4363,                 5.2269,                 3.1352,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.3881,                 1.7145,                  1.993,                0.03824,                0.34058,                0.08628,                0.02837,                 2.2051,                 4.4856,                 3.0323,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.3477,                 1.6243,                 1.9422,                0.30512,                 0.2971,                0.26874,                0.08919,                 2.2658,                 3.7994,                 3.1776,               0.000614,               0.000614,               0.000614
                     37,                 1.3597,                 1.6093,                 1.9875,                0.07579,                 0.2971,                0.11472,                0.04049,                 2.2041,                 4.7455,                 3.0247,              0.0005744,              0.0005744,              0.0005744
