                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9039,                 8.1535,                  2.468,                0.04974,                0.03623,                0.00791,                0.00154,                 3.8915,                 3.2019,                 4.4323,             0.00066506,             0.00066506,             0.00066506
                      2,                 2.0144,                 2.9703,                 2.5423,                0.00669,                0.27536,                0.00994,                0.00191,                 3.5095,                 3.5811,                 4.1055,              0.0013054,              0.0013054,              0.0013054
                      3,                  1.921,                 3.0627,                   2.54,                0.05127,                0.18841,                0.02329,                0.00479,                 2.4811,                 3.4324,                 3.5281,              0.0019193,              0.0019193,              0.0019193
                      4,                 1.8995,                  2.854,                 2.5083,                0.10759,                0.13043,                0.03636,                0.00758,                 2.5727,                  3.617,                 3.3778,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.8083,                 2.7561,                 2.4299,                0.15577,                0.14174,                0.06321,                0.01264,                  2.617,                 3.2755,                 3.6153,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.8028,                 2.6289,                 2.3922,                0.15402,                 0.0942,                0.05383,                0.01254,                   2.78,                 3.9989,                  3.694,               0.001802,               0.001802,               0.001802
                      7,                 1.7531,                 2.5435,                 2.3737,                0.10053,                0.13768,                0.08364,                0.01782,                 2.9518,                 4.7263,                 3.7223,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.7222,                 2.4871,                 2.3359,                0.09798,                0.11594,                0.04069,                0.00936,                 2.7081,                 4.5673,                 3.5213,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.6703,                 2.3666,                 2.3177,                0.02674,                0.03623,                0.01881,                0.00349,                 2.4784,                 5.4606,                 3.3186,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.7013,                 2.3204,                 2.3176,                0.04851,                0.22464,                0.06226,                0.01424,                 2.6385,                 4.6353,                 3.5618,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.6621,                 2.3245,                 2.2875,                0.09474,                0.06522,                0.05477,                0.01204,                 2.8184,                 5.5759,                  3.508,               0.001604,               0.001604,               0.001604
                     12,                 1.6363,                 2.2748,                 2.2367,                0.10811,                0.08696,                0.07465,                0.02094,                 2.4228,                 5.2366,                 3.3256,              0.0015644,              0.0015644,              0.0015644
