                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8922,                0.76672,                  1.402,                0.94782,                0.83333,                0.93386,                0.51931,                 1.4828,                0.85205,                 2.0786,              0.0006536,              0.0006536,              0.0006536
                     36,                0.92273,                0.76737,                 1.4267,                0.94534,                0.86957,                0.94172,                0.57436,                 1.2991,                 0.7499,                 1.8473,               0.000614,               0.000614,               0.000614
                     37,                 0.8908,                0.76125,                 1.3849,                0.92309,                0.86972,                0.94637,                0.59657,                 1.2841,                0.73544,                 1.8238,              0.0005744,              0.0005744,              0.0005744
                     38,                0.89296,                0.75293,                 1.3956,                0.93034,                0.87097,                0.94089,                0.54555,                 1.3965,                0.77693,                 1.9856,              0.0005348,              0.0005348,              0.0005348
                     39,                0.85687,                0.73288,                 1.3698,                0.93988,                 0.8913,                0.94912,                0.59185,                 1.2744,                0.73918,                 1.8229,              0.0004952,              0.0004952,              0.0004952
                     40,                0.84986,                0.70602,                  1.368,                0.96728,                 0.8913,                0.95482,                0.62728,                 1.1656,                 0.6735,                 1.6988,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.7664,                0.55089,                  1.392,                 0.9097,                0.87605,                0.94044,                0.62425,                 1.1747,                0.71311,                 1.7349,               0.000416,               0.000416,               0.000416
                     42,                0.73753,                0.49626,                 1.3831,                0.95258,                0.87337,                0.94217,                0.58711,                 1.2713,                0.75741,                  1.822,              0.0003764,              0.0003764,              0.0003764
                     43,                0.71381,                0.48909,                 1.3571,                0.96514,                0.84058,                0.93177,                0.61982,                 1.1813,                0.73222,                 1.7462,              0.0003368,              0.0003368,              0.0003368
                     44,                0.67025,                0.45547,                 1.2986,                0.96846,                0.83333,                0.93496,                0.59506,                 1.2717,                0.72551,                 1.8724,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.6625,                0.45452,                  1.294,                0.94405,                0.85588,                0.93791,                0.62911,                 1.1445,                0.70379,                 1.7178,              0.0002576,              0.0002576,              0.0002576
                     46,                0.63958,                0.43609,                 1.2699,                0.88801,                0.88406,                0.92874,                0.62164,                 1.1799,                0.69527,                 1.7315,               0.000218,               0.000218,               0.000218
                     47,                0.61614,                0.41365,                 1.2491,                0.94564,                0.88242,                0.95595,                0.63435,                 1.1089,                0.68925,                 1.6961,              0.0001784,              0.0001784,              0.0001784
                     48,                0.61121,                0.40337,                 1.2506,                0.95304,                0.88236,                0.95043,                0.64693,                  1.094,                0.67546,                 1.6815,              0.0001388,              0.0001388,              0.0001388
                     49,                0.57417,                0.38453,                 1.2031,                0.92458,                0.89855,                0.94914,                0.61511,                 1.1555,                0.66192,                  1.753,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.57741,                 0.3968,                 1.2247,                0.95323,                 0.9058,                0.96069,                0.65765,                 1.0816,                0.64471,                 1.6919,               5.96e-05,               5.96e-05,               5.96e-05
