                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.337,                 2.1493,                 1.7951,                 0.6347,                0.50725,                0.51992,                0.17476,                 1.6992,                 2.8626,                 2.5518,             0.00065741,             0.00065741,             0.00065741
                      2,                 1.3155,                 1.7391,                  1.749,                0.57333,                0.65942,                0.64356,                  0.249,                  1.851,                 2.0362,                 2.4594,              0.0012979,              0.0012979,              0.0012979
                      3,                 1.3298,                 1.6117,                 1.7298,                0.74989,                0.65181,                0.71271,                0.21646,                 2.1181,                  2.189,                 2.9188,              0.0019119,              0.0019119,              0.0019119
                      4,                  1.299,                 1.5309,                 1.7208,                0.69083,                0.48575,                0.54619,                0.17505,                 2.1254,                 2.2315,                 2.9817,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2892,                 1.4259,                 1.7383,                 0.4958,                0.35507,                0.38363,                0.12508,                 1.8773,                 2.3025,                 2.5548,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.242,                 1.3437,                 1.7005,                0.40947,                0.37685,                0.28896,                0.09458,                 2.2472,                 3.2493,                 2.7882,               0.001802,               0.001802,               0.001802
                      7,                 1.2679,                  1.338,                 1.6976,                0.72083,                0.67391,                0.72053,                0.28614,                 1.8702,                 1.7465,                 2.5257,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.222,                 1.2763,                 1.6485,                0.72088,                0.68116,                0.71815,                0.24802,                 2.2172,                 1.5669,                 2.9395,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1857,                 1.1939,                 1.5932,                0.87564,                0.82609,                0.87029,                0.43932,                 1.6648,                 1.1614,                 2.1727,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1619,                 1.1527,                 1.5998,                0.75136,                0.80435,                0.77905,                0.35363,                 1.7324,                 1.3113,                 2.3158,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1187,                 1.1041,                 1.5677,                0.86805,                 0.8581,                0.90042,                0.50382,                 1.3862,                 1.0688,                 1.9485,               0.001604,               0.001604,               0.001604
                     12,                 1.1175,                 1.0566,                 1.5482,                0.83964,                0.83472,                0.83342,                 0.3353,                 1.9552,                 1.1474,                 2.6131,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1224,                 1.0505,                 1.5451,                0.88655,                0.79281,                0.86583,                0.38573,                 1.8123,                 1.0603,                 2.3807,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0912,                 1.0124,                 1.5336,                0.89304,                0.81884,                0.90236,                0.43343,                 1.7108,                  1.063,                 2.3014,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.0555,                0.99225,                 1.5004,                0.91095,                0.92029,                 0.9428,                0.44496,                 1.6655,                0.94204,                 2.2702,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.0536,                0.97506,                 1.4921,                0.92373,                 0.8913,                0.90569,                 0.3713,                 1.8921,                0.98297,                 2.5052,               0.001406,               0.001406,               0.001406
                     17,                 1.0536,                0.97005,                 1.5091,                0.82065,                0.78261,                 0.8192,                 0.2706,                 2.3737,                 1.1537,                 3.0965,              0.0013664,              0.0013664,              0.0013664
                     18,                  1.032,                0.90569,                 1.5083,                0.76229,                0.88303,                 0.8833,                0.44485,                 1.6217,                 1.0149,                 2.0903,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.0371,                0.89767,                 1.4817,                0.92129,                0.86957,                0.93348,                0.51441,                 1.5037,                0.89199,                 2.0099,              0.0012872,              0.0012872,              0.0012872
                     20,                 0.9642,                0.86581,                 1.4289,                 0.8829,                0.87419,                0.91487,                0.50433,                 1.4832,                0.90434,                 2.0705,              0.0012476,              0.0012476,              0.0012476
                     21,                0.97735,                0.84027,                 1.4156,                0.92686,                0.82652,                  0.906,                0.38926,                 1.9228,                0.97977,                 2.4446,               0.001208,               0.001208,               0.001208
                     22,                0.94861,                0.81582,                 1.4031,                0.94614,                0.89855,                0.93918,                0.44439,                 1.7339,                0.89573,                 2.2309,              0.0011684,              0.0011684,              0.0011684
                     23,                0.95566,                0.86862,                 1.4302,                0.94443,                0.86202,                 0.9129,                0.47744,                 1.5765,                 0.8907,                 2.1077,              0.0011288,              0.0011288,              0.0011288
                     24,                0.94972,                0.82577,                 1.4051,                0.90745,                0.85262,                0.92722,                0.57396,                 1.3079,                 0.8548,                 1.8373,              0.0010892,              0.0010892,              0.0010892
                     25,                0.94712,                0.85346,                 1.4178,                0.92083,                0.92711,                0.96233,                0.53104,                 1.4506,                0.79195,                 1.9694,              0.0010496,              0.0010496,              0.0010496
                     26,                0.90194,                0.79125,                 1.4022,                0.90654,                0.84783,                0.88609,                0.51781,                 1.4632,                0.89804,                  1.969,                0.00101,                0.00101,                0.00101
                     27,                0.90195,                0.77721,                 1.3789,                0.96175,                0.91114,                0.94405,                0.50104,                 1.5523,                0.81054,                 2.0154,              0.0009704,              0.0009704,              0.0009704
                     28,                0.90012,                0.75199,                 1.3887,                0.95366,                0.89468,                0.93552,                0.50024,                 1.5887,                 0.7928,                 2.1192,              0.0009308,              0.0009308,              0.0009308
                     29,                0.84813,                 0.7589,                 1.3465,                0.93477,                0.87681,                0.92951,                0.51001,                 1.5217,                0.79721,                 2.0742,              0.0008912,              0.0008912,              0.0008912
                     30,                0.86222,                0.73687,                 1.3487,                0.92485,                0.92029,                0.93863,                0.57869,                 1.2755,                0.72421,                 1.7807,              0.0008516,              0.0008516,              0.0008516
                     31,                0.84463,                0.72113,                 1.3385,                0.93757,                0.87067,                0.93206,                0.53865,                 1.4522,                0.74469,                 1.9753,               0.000812,               0.000812,               0.000812
                     32,                0.83422,                0.69856,                 1.3209,                0.96913,                0.91007,                0.95938,                0.57977,                 1.3519,                0.69804,                 1.8877,              0.0007724,              0.0007724,              0.0007724
                     33,                0.86587,                0.68993,                 1.3547,                0.93546,                0.94536,                0.96625,                0.58737,                 1.3349,                0.66997,                 1.8702,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.8203,                0.68345,                 1.3098,                0.94643,                0.89625,                0.94507,                  0.582,                 1.3748,                0.68674,                 1.9142,              0.0006932,              0.0006932,              0.0006932
                     35,                0.80893,                0.68928,                 1.3107,                0.94995,                0.94203,                0.95942,                0.55815,                   1.35,                 0.6809,                 1.8967,              0.0006536,              0.0006536,              0.0006536
                     36,                0.82065,                 0.6733,                  1.317,                0.94662,                0.89961,                0.94046,                0.54431,                 1.3635,                0.69869,                 1.8917,               0.000614,               0.000614,               0.000614
                     37,                0.79568,                   0.67,                 1.2788,                0.97617,                0.91304,                0.93995,                0.59598,                 1.2826,                0.67708,                 1.7934,              0.0005744,              0.0005744,              0.0005744
                     38,                0.78764,                 0.6411,                 1.2961,                0.98076,                0.91304,                0.95267,                0.61047,                 1.2282,                0.65804,                 1.7642,              0.0005348,              0.0005348,              0.0005348
                     39,                0.77583,                0.64118,                 1.2794,                0.95267,                0.94203,                0.96021,                0.58208,                 1.2961,                0.65648,                 1.8359,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.7697,                 0.6216,                 1.2822,                0.96235,                0.92601,                0.96007,                0.60362,                 1.2609,                0.61961,                 1.8057,              0.0004556,              0.0004556,              0.0004556
                     41,                0.65648,                0.48518,                 1.2615,                0.95922,                0.92029,                0.94758,                0.62424,                 1.1632,                0.62887,                 1.7137,               0.000416,               0.000416,               0.000416
                     42,                0.64108,                 0.4522,                  1.251,                0.95196,                0.92754,                0.95966,                0.59788,                 1.2944,                0.66475,                 1.8611,              0.0003764,              0.0003764,              0.0003764
                     43,                0.61919,                0.43981,                 1.2237,                0.95607,                 0.9463,                0.96477,                0.62056,                 1.2584,                0.65117,                 1.8153,              0.0003368,              0.0003368,              0.0003368
                     44,                0.58621,                0.41532,                 1.1893,                0.96937,                0.91727,                0.95994,                0.63004,                  1.225,                0.63844,                  1.789,              0.0002972,              0.0002972,              0.0002972
                     45,                0.56168,                 0.4125,                 1.1712,                0.96311,                0.94606,                0.96741,                0.61003,                  1.261,                0.60337,                 1.8782,              0.0002576,              0.0002576,              0.0002576
                     46,                0.55503,                0.39374,                 1.1588,                0.97535,                0.94203,                0.96972,                 0.6259,                 1.2357,                0.58515,                 1.8168,               0.000218,               0.000218,               0.000218
                     47,                0.53568,                0.38107,                 1.1565,                0.97725,                0.92754,                0.96906,                 0.6146,                 1.2261,                0.59817,                 1.8138,              0.0001784,              0.0001784,              0.0001784
                     48,                0.54932,                0.38187,                 1.1551,                0.96282,                0.93835,                0.96589,                0.63423,                 1.1769,                0.59785,                 1.7499,              0.0001388,              0.0001388,              0.0001388
                     49,                0.51477,                0.36535,                 1.1259,                0.96314,                0.94667,                0.96798,                0.62635,                 1.2288,                 0.5836,                 1.8181,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.5249,                0.36701,                 1.1508,                 0.9492,                0.94782,                0.96721,                0.64901,                  1.119,                0.57905,                 1.7026,               5.96e-05,               5.96e-05,               5.96e-05
